epoch,step,global_step,loss,positive_cosine,negative_cosine,learning_rate
1,1,1,1.4614602327346802,0.8539143800735474,0.6232212781906128,2.625e-05
1,2,2,0.3302830159664154,0.8177956342697144,0.4306575357913971,2.25e-05
1,3,3,0.16370335221290588,0.8009963631629944,0.3416980803012848,1.8750000000000002e-05
1,4,4,0.101145438849926,0.811820924282074,0.3441661298274994,1.5e-05
2,1,5,0.12577180564403534,0.8169623017311096,0.3118639588356018,1.125e-05
2,2,6,0.06812800467014313,0.8145076036453247,0.3271790146827698,7.5e-06
2,3,7,0.04270797595381737,0.8148221969604492,0.3059521019458771,3.75e-06
2,4,8,0.08575273305177689,0.7917863726615906,0.28529199957847595,0.0
