epoch,step,global_step,loss,positive_cosine,negative_cosine,learning_rate
1,1,1,0.33447593450546265,1.0,0.6286674737930298,2.996158770806658e-05
1,2,2,0.004202783107757568,1.0,0.4150671064853668,2.9923175416133165e-05
1,3,3,0.005476301535964012,1.0,0.3502005934715271,2.9884763124199744e-05
1,4,4,0.0011326669482514262,1.0,0.35463303327560425,2.9846350832266326e-05
1,5,5,0.002508364384993911,1.0,0.3332800269126892,2.9807938540332905e-05
1,6,6,0.000544165086466819,1.0,0.31859663128852844,2.976952624839949e-05
1,7,7,0.0003938832087442279,1.0,0.2979235053062439,2.973111395646607e-05
1,8,8,0.0007861435879021883,1.0,0.28996914625167847,2.9692701664532652e-05
1,9,9,0.0002487317251507193,1.0,0.2683566212654114,2.965428937259923e-05
1,10,10,0.0003127144300378859,1.0,0.24879653751850128,2.9615877080665817e-05
1,11,11,0.00020992719510104507,0.9999999403953552,0.2537902891635895,2.9577464788732395e-05
1,12,12,0.004435321316123009,1.0,0.2245774120092392,2.9539052496798978e-05
1,13,13,0.00013052178837824613,1.0,0.22269128262996674,2.9500640204865557e-05
1,14,14,0.00013380531163420528,1.0,0.20889537036418915,2.946222791293214e-05
1,15,15,0.0002692846755962819,1.0,0.19357889890670776,2.942381562099872e-05
1,16,16,0.00018783228006213903,1.0,0.19537808001041412,2.93854033290653e-05
1,17,17,4.2907606257358566e-05,1.0,0.18492718040943146,2.9346991037131882e-05
1,18,18,0.0012871383223682642,1.0,0.17318417131900787,2.9308578745198464e-05
1,19,19,3.9113911043386906e-05,1.0,0.1730157881975174,2.9270166453265047e-05
1,20,20,4.749491563416086e-05,1.0,0.16605398058891296,2.9231754161331626e-05
1,21,21,5.389445504988544e-05,1.0,0.15917551517486572,2.9193341869398208e-05
1,22,22,7.025540253380314e-05,1.0,0.15750031173229218,2.915492957746479e-05
1,23,23,0.00017134587687905878,0.9999999403953552,0.14770394563674927,2.9116517285531372e-05
1,24,24,8.438734948867932e-05,1.0,0.1555188149213791,2.907810499359795e-05
1,25,25,9.985959331970662e-05,1.0,0.14877884089946747,2.9039692701664533e-05
1,26,26,0.0003687479766085744,1.0,0.13751059770584106,2.9001280409731116e-05
1,27,27,0.0005724744405597448,1.0,0.14067642390727997,2.8962868117797695e-05
1,28,28,1.746937596180942e-05,1.0,0.1401330977678299,2.8924455825864277e-05
1,29,29,4.817367880605161e-05,0.9999999403953552,0.13307885825634003,2.8886043533930856e-05
1,30,30,1.8650369383976795e-05,1.0,0.14176121354103088,2.884763124199744e-05
1,31,31,2.8599386496352963e-05,1.0,0.13520407676696777,2.880921895006402e-05
1,32,32,1.680817877058871e-05,1.0,0.13147521018981934,2.8770806658130602e-05
1,33,33,5.595792390522547e-05,1.0,0.1316448599100113,2.873239436619718e-05
1,34,34,0.001739979488775134,1.0,0.12393154948949814,2.8693982074263767e-05
1,35,35,2.850180862878915e-05,1.0,0.1253461241722107,2.8655569782330346e-05
1,36,36,2.9793391149723902e-05,1.0,0.1322757601737976,2.8617157490396928e-05
1,37,37,0.00026557454839348793,1.0,0.12663662433624268,2.857874519846351e-05
1,38,38,1.1578067642403767e-05,1.0,0.12430106848478317,2.8540332906530093e-05
1,39,39,1.6807816791697405e-05,1.0,0.12855736911296844,2.850192061459667e-05
1,40,40,2.4539413061575033e-05,1.0,0.12681736052036285,2.846350832266325e-05
1,41,41,1.3872624549549073e-05,1.0,0.11502581089735031,2.8425096030729836e-05
1,42,42,0.00011015198833774775,1.0,0.12409704923629761,2.8386683738796415e-05
1,43,43,9.693088031781372e-06,0.9999999403953552,0.11364883184432983,2.8348271446862997e-05
1,44,44,1.8933047613245435e-05,1.0,0.12953943014144897,2.8309859154929576e-05
1,45,45,5.889645763090812e-05,0.9999999403953552,0.12259600311517715,2.827144686299616e-05
1,46,46,2.614288496260997e-05,1.0,0.12791328132152557,2.823303457106274e-05
1,47,47,1.3420036339084618e-05,1.0,0.11682309210300446,2.8194622279129323e-05
1,48,48,3.3600743336137384e-05,1.0,0.1329462230205536,2.81562099871959e-05
1,49,49,6.400016445695655e-06,1.0,0.11336830258369446,2.8117797695262487e-05
1,50,50,2.005262103921268e-05,1.0,0.13655629754066467,2.8079385403329066e-05
1,51,51,3.619643393903971e-05,1.0,0.12286284565925598,2.804097311139565e-05
1,52,52,3.454107718425803e-05,1.0,0.13572731614112854,2.8002560819462227e-05
1,53,53,1.7973759895539843e-05,1.0,0.12030205875635147,2.796414852752881e-05
1,54,54,0.004231207072734833,1.0,0.1191343367099762,2.7925736235595392e-05
1,55,55,1.7053640476660803e-05,1.0,0.1262558400630951,2.788732394366197e-05
1,56,56,6.040416337782517e-05,1.0,0.13937781751155853,2.7848911651728553e-05
1,57,57,0.0001479610800743103,1.0,0.1187225878238678,2.7810499359795135e-05
1,58,58,2.3367483663605526e-05,1.0,0.11697568744421005,2.7772087067861717e-05
1,59,59,0.0004474523011595011,0.9999999403953552,0.11176284402608871,2.7733674775928296e-05
1,60,60,1.485037228121655e-05,1.0,0.10947012156248093,2.769526248399488e-05
1,61,61,1.3714311535295565e-05,1.0,0.12283721566200256,2.765685019206146e-05
1,62,62,1.5075809642439708e-05,1.0,0.1214510127902031,2.7618437900128043e-05
1,63,63,9.564511856297031e-06,1.0,0.1138843223452568,2.7580025608194622e-05
1,64,64,2.4031092834775336e-05,1.0,0.11457989364862442,2.7541613316261204e-05
1,65,65,0.00022657772933598608,0.9999999403953552,0.12220034748315811,2.7503201024327786e-05
1,66,66,6.757726077921689e-05,1.0,0.11598129570484161,2.746478873239437e-05
1,67,67,2.6194202291662805e-05,1.0,0.13500750064849854,2.7426376440460947e-05
1,68,68,1.1861058737849817e-05,1.0,0.11335400491952896,2.738796414852753e-05
1,69,69,0.00037697149673476815,1.0,0.1107550859451294,2.7349551856594112e-05
1,70,70,1.4714509234181605e-05,1.0,0.13365016877651215,2.731113956466069e-05
1,71,71,1.8838070900528692e-05,1.0,0.11980194598436356,2.7272727272727273e-05
1,72,72,1.7792368453228846e-05,1.0,0.12120518088340759,2.7234314980793855e-05
1,73,73,1.5349687600973994e-05,0.9999999403953552,0.12731708586215973,2.7195902688860438e-05
1,74,74,2.6216661353828385e-05,1.0,0.11644624918699265,2.7157490396927016e-05
1,75,75,2.427478648314718e-05,1.0,0.12497615814208984,2.71190781049936e-05
1,76,76,8.853066537994891e-05,1.0,0.11931955814361572,2.708066581306018e-05
1,77,77,1.2304059055168182e-05,1.0,0.11940610408782959,2.7042253521126763e-05
1,78,78,0.0006707276334054768,1.0,0.12081581354141235,2.7003841229193342e-05
1,79,79,1.3479638255375903e-05,1.0,0.11170933395624161,2.6965428937259924e-05
1,80,80,0.0004405708168633282,1.0,0.12091092765331268,2.6927016645326507e-05
1,81,81,1.9008133676834404e-05,1.0,0.11334299296140671,2.6888604353393085e-05
1,82,82,1.1706320947268978e-05,1.0,0.11857405304908752,2.6850192061459668e-05
1,83,83,8.337132385349832e-06,1.0,0.1104544997215271,2.6811779769526247e-05
1,84,84,0.021675955504179,1.0,0.11981553584337234,2.6773367477592832e-05
1,85,85,1.191325736726867e-05,1.0,0.11517045646905899,2.673495518565941e-05
1,86,86,2.5591110897948965e-05,1.0,0.10748060792684555,2.6696542893725993e-05
1,87,87,1.4843080862192437e-05,1.0,0.12477371096611023,2.6658130601792572e-05
1,88,88,2.452822809573263e-05,1.0,0.11286642402410507,2.6619718309859158e-05
1,89,89,7.405790256598266e-06,0.9999999403953552,0.10238054394721985,2.6581306017925737e-05
1,90,90,8.58673138282029e-06,1.0,0.11509319394826889,2.654289372599232e-05
1,91,91,9.80843833531253e-06,1.0,0.10975293815135956,2.6504481434058898e-05
1,92,92,7.960874427226372e-06,1.0,0.12072944641113281,2.6466069142125484e-05
1,93,93,0.0001339481386821717,1.0,0.11062813550233841,2.6427656850192062e-05
1,94,94,1.732553937472403e-05,1.0,0.11287401616573334,2.638924455825864e-05
1,95,95,1.0233206012344453e-05,1.0,0.10898036509752274,2.6350832266325224e-05
1,96,96,1.4419367289519869e-05,1.0,0.10802390426397324,2.6312419974391806e-05
1,97,97,3.2995631045196205e-05,1.0,0.11696106195449829,2.6274007682458388e-05
1,98,98,3.198991544195451e-05,1.0,0.11283975094556808,2.6235595390524967e-05
1,99,99,1.216827513417229e-05,1.0,0.11135578900575638,2.619718309859155e-05
1,100,100,8.079942745098379e-06,1.0,0.1098204255104065,2.615877080665813e-05
1,101,101,1.1434578482294455e-05,0.9999999403953552,0.11044482886791229,2.6120358514724714e-05
1,102,102,4.700540011981502e-05,1.0,0.10278736054897308,2.6081946222791293e-05
1,103,103,3.686917625600472e-05,1.0,0.10851529240608215,2.6043533930857878e-05
1,104,104,7.370410912699299e-06,1.0,0.1033417209982872,2.6005121638924457e-05
1,105,105,0.021667206659913063,1.0,0.10896722227334976,2.596670934699104e-05
1,106,106,1.3002701962250285e-05,1.0,0.1077064573764801,2.5928297055057618e-05
1,107,107,8.664857887197286e-06,1.0,0.11725682020187378,2.58898847631242e-05
1,108,108,9.134273568633944e-06,1.0,0.09816261380910873,2.5851472471190783e-05
1,109,109,8.581006113672629e-06,1.0,0.10293068736791611,2.581306017925736e-05
1,110,110,1.418982537870761e-05,1.0,0.0986504927277565,2.5774647887323944e-05
1,111,111,7.06866558175534e-06,1.0,0.10386402159929276,2.5736235595390526e-05
1,112,112,3.743908791875583e-06,1.0,0.10583064705133438,2.5697823303457108e-05
